ID	type
MA_10177966g0010	gene
MA_10177978g0010	gene
MA_10178530g0010	gene
MA_10178643g0010	gene
MA_10178675g0010	gene
MA_101786g0010	gene
MA_10178729g0010	gene
MA_10178930g0010	gene
MA_101790g0010	gene
MA_10179229g0010	gene
MA_10179418g0010	gene
MA_10179668g0010	gene
MA_10179679g0010	gene
MA_101796g0010	gene
MA_101803g0010	gene
MA_10180594g0010	gene
MA_10180832g0010	gene
MA_10180966g0010	gene
MA_10181246g0010	gene
MA_101812g0010	gene
MA_10181415g0010	gene
MA_10181601g0010	gene
MA_101817g0010	gene
MA_10182116g0010	gene
MA_10182170g0010	gene
MA_10182631g0010	gene
MA_10182777g0010	gene
MA_10182847g0010	gene
MA_10182874g0010	gene
MA_10182879g0010	gene
MA_10183447g0010	gene
MA_10183934g0010	gene
MA_101842g0010	gene
MA_10184397g0010	gene
MA_10184459g0010	gene
MA_10184563g0010	gene
MA_10184802g0010	gene
MA_101848g0010	gene
MA_10184926g0010	gene
MA_10184986g0010	gene
MA_10185064g0010	gene
MA_10185385g0010	gene
MA_10185649g0010	gene
MA_10185839g0010	gene
MA_10186026g0010	gene
MA_10186160g0010	gene
MA_101861g0010	gene
MA_10186297g0010	gene
MA_10186551g0010	gene
MA_10186842g0010	gene
MA_10186845g0010	gene
MA_10186862g0010	gene
MA_10186926g0010	gene
MA_10187020g0010	gene
MA_10187060g0010	gene
MA_101873g0010	gene
MA_10187879g0010	gene
MA_10187960g0010	gene
MA_101879g0010	gene
MA_10188586g0010	gene
MA_10189019g0010	gene
MA_10189121g0010	gene
MA_101891g0010	gene
MA_10189275g0010	gene
MA_101892g0010	gene
MA_10189662g0010	gene
MA_10189965g0010	gene
MA_10190212g0010	gene
MA_10190246g0010	gene
MA_10190371g0010	gene
MA_10191277g0010	gene
MA_10191444g0010	gene
MA_10191470g0010	gene
MA_10191471g0010	gene
MA_101915g0010	gene
MA_10191747g0010	gene
MA_10191900g0010	gene
MA_10192193g0010	gene
MA_10192193g0020	gene
MA_101924g0010	gene
MA_101924g0020	gene
MA_10192750g0010	gene
MA_101927g0010	gene
MA_10193025g0010	gene
MA_101930g0010	gene
MA_10193198g0010	gene
MA_10193378g0010	gene
MA_101933g0010	gene
MA_10193808g0010	gene
MA_101944g0010	gene
MA_10194606g0010	gene
MA_10194688g0010	gene
MA_10194g0010	gene
MA_10194g0020	gene
MA_10195045g0010	gene
MA_10195045g0020	gene
MA_10195150g0010	gene
MA_10195337g0010	gene
MA_10195410g0010	gene
MA_10195484g0010	gene
MA_10195553g0010	gene
MA_10195595g0010	gene
MA_10195650g0010	gene
MA_10195746g0010	gene
MA_101958g0010	gene
MA_10196316g0010	gene
MA_10196363g0010	gene
MA_10196428g0010	gene
MA_101964g0010	gene
MA_101965g0010	gene
MA_10197113g0010	gene
MA_10197194g0010	gene
MA_10197220g0010	gene
MA_101972g0010	gene
MA_10197498g0010	gene
MA_10197498g0020	gene
MA_10197887g0010	gene
MA_10197891g0010	gene
MA_10198222g0010	gene
MA_10198293g0020	gene
MA_101987g0010	gene
MA_10198808g0010	gene
MA_10199026g0010	gene
MA_101990g0010	gene
MA_10199247g0010	gene
MA_10199543g0020	gene
MA_10199583g0010	gene
MA_101997g0010	gene
MA_10199979g0010	gene
MA_10200015g0010	gene
MA_10200076g0010	gene
MA_102003g0010	gene
MA_102003g0020	gene
MA_10200708g0010	gene
MA_10201271g0010	gene
MA_10201591g0010	gene
MA_10201728g0010	gene
MA_10201791g0010	gene
MA_10201g0010	gene
MA_10202493g0010	gene
MA_10202775g0010	gene
MA_10202872g0010	gene
MA_10203127g0010	gene
MA_10203128g0010	gene
MA_10203451g0010	gene
MA_10203758g0010	gene
MA_102039g0010	gene
MA_10204389g0010	gene
MA_102043g0010	gene
MA_10204459g0010	gene
MA_10204534g0010	gene
MA_102045g0010	gene
MA_10204725g0010	gene
MA_10204781g0010	gene
MA_10204983g0010	gene
MA_10205012g0010	gene
MA_102052g0010	gene
MA_102054g0010	gene
MA_10205510g0010	gene
MA_10205704g0010	gene
MA_102057g0010	gene
MA_10205853g0010	gene
MA_10205894g0010	gene
MA_10206082g0010	gene
MA_102060g0010	gene
MA_10206328g0010	gene
MA_10206478g0010	gene
MA_10206648g0010	gene
MA_10206860g0010	gene
MA_102072g0010	gene
MA_10207337g0010	gene
MA_10207745g0010	gene
MA_10207823g0010	gene
MA_10207969g0010	gene
MA_10207985g0010	gene
MA_10208000g0010	gene
MA_10208452g0010	gene
MA_10208460g0010	gene
MA_10208488g0010	gene
MA_10208536g0010	gene
MA_10208579g0010	gene
MA_10208914g0010	gene
MA_102091g0010	gene
MA_10209232g0010	gene
MA_10209713g0010	gene
MA_10209746g0010	gene
MA_10209765g0010	gene
MA_1020g0010	gene
MA_10210353g0010	gene
MA_10210517g0010	gene
MA_10210587g0010	gene
MA_102106g0010	gene
MA_102108g0010	gene
MA_10210994g0010	gene
MA_10211068g0010	gene
MA_10211138g0010	gene
MA_1021120g0010	gene
MA_10211338g0010	gene
MA_10211472g0010	gene
MA_10211525g0010	gene
MA_10211598g0010	gene
MA_10211613g0010	gene
MA_10211749g0010	gene
MA_10211905g0010	gene
MA_10211908g0010	gene
MA_10211971g0010	gene
MA_102119g0010	gene
MA_10212234g0010	gene
MA_102122g0010	gene
MA_10212474g0010	gene
MA_10212503g0010	gene
MA_10212607g0010	gene
MA_10212971g0010	gene
MA_10212g0010	gene
MA_10213249g0010	gene
MA_102132g0010	gene
MA_10213762g0010	gene
MA_10214069g0010	gene
MA_10214089g0010	gene
MA_10214098g0010	gene
MA_102140g0010	gene
MA_102140g0020	gene
MA_102149g0010	gene
MA_10215114g0010	gene
MA_10215772g0010	gene
MA_10215885g0010	gene
MA_10215954g0010	gene
MA_102159g0010	gene
MA_10216136g0010	gene
MA_10216419g0010	gene
MA_10216549g0010	gene
MA_102166g0020	gene
MA_10217369g0010	gene
MA_102175g0010	gene
MA_10217744g0010	gene
MA_102181g0010	gene
MA_10218559g0010	gene
MA_10218670g0010	gene
MA_10218870g0010	gene
MA_10219060g0010	gene
MA_10219080g0010	gene
MA_10219750g0010	gene
MA_102198g0010	gene
MA_10219914g0020	gene
MA_10219997g0010	gene
MA_102199g0010	gene
MA_10220107g0010	gene
MA_1022031g0010	gene
MA_10220333g0010	gene
MA_10220433g0010	gene
MA_102205g0010	gene
MA_10220g0010	gene
MA_10221168g0010	gene
MA_10221445g0010	gene
MA_10221600g0010	gene
MA_10221610g0010	gene
MA_10221835g0010	gene
MA_102223g0010	gene
MA_10222569g0010	gene
MA_10222589g0010	gene
MA_10222884g0010	gene
MA_10222942g0010	gene
MA_10223082g0010	gene
MA_10223157g0010	gene
MA_10223421g0010	gene
MA_10223525g0010	gene
MA_102238g0010	gene
MA_10224204g0010	gene
MA_10224862g0010	gene
MA_10225285g0010	gene
MA_10225303g0010	gene
MA_10225405g0010	gene
MA_10225438g0010	gene
MA_1022588g0010	gene
MA_10226013g0010	gene
MA_10226519g0010	gene
MA_10226584g0010	gene
MA_10226800g0010	gene
MA_10227081g0010	gene
MA_10227167g0010	gene
MA_10227195g0010	gene
MA_10227258g0010	gene
MA_10227568g0010	gene
MA_10227622g0010	gene
MA_10227813g0010	gene
MA_102279g0010	gene
MA_10228148g0010	gene
MA_10228201g0010	gene
MA_10228729g0010	gene
MA_102288g0010	gene
MA_10229281g0010	gene
MA_102293g0010	gene
MA_10229624g0010	gene
MA_10229741g0010	gene
MA_10230048g0010	gene
MA_10230764g0010	gene
MA_102307g0010	gene
MA_10231220g0010	gene
MA_10231244g0010	gene
MA_102312g0010	gene
MA_10231644g0010	gene
MA_10231744g0010	gene
MA_10231938g0010	gene
MA_10232070g0010	gene
MA_10232436g0010	gene
MA_10232475g0010	gene
MA_102324g0010	gene
MA_10232509g0010	gene
MA_102329g0010	gene
MA_102330g0020	gene
MA_10233136g0010	gene
MA_10233540g0010	gene
MA_10233545g0010	gene
MA_10234107g0010	gene
MA_10234164g0010	gene
MA_10234279g0010	gene
MA_10234632g0010	gene
MA_10234710g0010	gene
MA_10234841g0010	gene
MA_102349g0010	gene
MA_10234g0010	gene
MA_10235009g0010	gene
MA_10235077g0010	gene
MA_102352g0010	gene
MA_10235873g0010	gene
MA_10236130g0010	gene
MA_10236360g0010	gene
MA_10236470g0010	gene
MA_10236907g0010	gene
MA_10236943g0010	gene
MA_10237190g0010	gene
MA_10237293g0010	gene
MA_10237340g0010	gene
MA_10237476g0010	gene
MA_10237752g0010	gene
MA_102379g0010	gene
MA_10238024g0010	gene
MA_10238407g0010	gene
MA_102384g0010	gene
MA_102384g0020	gene
MA_10239005g0010	gene
MA_10239006g0010	gene
MA_10239279g0010	gene
MA_10239544g0010	gene
MA_10239556g0010	gene
MA_10239665g0010	gene
MA_10239725g0010	gene
MA_1023g0010	gene
MA_1023g0030	gene
MA_102403g0010	gene
MA_10240481g0010	gene
MA_10240520g0010	gene
MA_10240941g0010	gene
MA_10241233g0010	gene
MA_10241326g0010	gene
MA_10241352g0010	gene
MA_10241825g0010	gene
MA_10241916g0010	gene
MA_10242190g0010	gene
MA_10242562g0010	gene
MA_10242579g0010	gene
MA_10242607g0010	gene
MA_102427g0010	gene
MA_10243441g0010	gene
MA_10243490g0010	gene
MA_10243509g0010	gene
MA_10243517g0010	gene
MA_10243652g0010	gene
MA_102436g0010	gene
MA_10243946g0010	gene
MA_102440g0010	gene
MA_10244164g0010	gene
MA_10244403g0010	gene
MA_1024481g0010	gene
MA_10244886g0010	gene
MA_10245438g0010	gene
MA_10245665g0010	gene
MA_102457g0010	gene
MA_10245933g0010	gene
MA_102459g0010	gene
MA_10246803g0010	gene
MA_10246817g0010	gene
MA_10246938g0010	gene
MA_10247003g0010	gene
MA_10247134g0010	gene
MA_10247978g0010	gene
MA_10249117g0010	gene
MA_10249258g0010	gene
MA_10249312g0010	gene
MA_10249530g0010	gene
MA_10249g0010	gene
MA_10250077g0010	gene
MA_10250564g0010	gene
MA_10250658g0010	gene
MA_10250686g0010	gene
MA_10250723g0010	gene
MA_10251013g0010	gene
MA_10251095g0010	gene
MA_10251285g0010	gene
MA_10251635g0010	gene
MA_10251932g0010	gene
MA_10251997g0010	gene
MA_10251g0010	gene
MA_10252040g0010	gene
MA_10252312g0010	gene
MA_10252443g0010	gene
MA_10253390g0010	gene
MA_10253522g0010	gene
MA_10253568g0010	gene
MA_10253655g0010	gene
MA_10253742g0010	gene
MA_10253824g0010	gene
MA_102538g0010	gene
MA_10254035g0010	gene
MA_10254376g0010	gene
MA_10254697g0010	gene
MA_102547g0010	gene
MA_10254g0010	gene
MA_10254g0020	gene
MA_10255128g0010	gene
MA_10255133g0010	gene
